Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,178,73,00:03:39,63,44.44%,28.09%,"₫109,589"
/shop/,49,22,00:01:11,1,100.00%,8.16%,"₫363,636"
/cart/,35,23,00:01:13,3,33.33%,17.14%,"₫347,826"
/my-account/,17,10,00:02:08,0,0.00%,5.88%,₫0
/checkout/,16,12,00:00:37,0,0.00%,6.25%,"₫666,667"
/product/khoa-hoc-de/,14,5,00:01:01,0,0.00%,0.00%,"₫1,600,000"
/sample-page/,14,10,00:01:02,0,0.00%,0.00%,₫0
/product/dich-vu-tu-van-giai-phap/,8,4,00:01:32,0,0.00%,12.50%,₫0
/product/khoa-hoc-data-analytics/,7,4,00:00:19,0,0.00%,14.29%,₫0
/product/khoa-hoc-power-bi/,6,4,00:01:01,2,50.00%,33.33%,₫0
,386,205,00:02:22,73,45.21%,18.91%,"₫195,122"
